code,current_title,Rev6_printed_page,code_in_Rev6,current_image_review
E.5.5,Reserved berthing — pushing-navigation vessels carrying one blue light/cone,139,True,no separate matching image
E.5.6,Reserved berthing — pushing-navigation vessels carrying two blue lights/cones,139,True,no separate matching image
E.6,Anchoring or trailing anchors/cables/chains permitted,141,True,no separate matching image
E.6.1,Use of spuds permitted,142,True,no separate matching image
E.7,Making fast to the bank permitted,142,True,no separate matching image
E.7.1,Berthing area reserved for loading/unloading vehicles,142,True,no separate matching image
E.8,Turning area,142,True,no separate matching image
E.9a,Approaching waterways are tributaries of this waterway,143,True,no separate matching image
E.9b,Approaching waterways are tributaries of this waterway,143,True,no separate matching image
E.9c,Approaching waterways are tributaries of this waterway,143,True,no separate matching image
E.10a,This waterway is tributary of the waterway being approached,143,True,no separate matching image
E.10b,This waterway is tributary of the waterway being approached,143,True,no separate matching image
E.11a,End of one-direction prohibition/obligation or restriction,144,True,no separate matching image
E.11b,End of one-direction prohibition/obligation or restriction,144,True,no separate matching image
E.12a,Advance signal — fixed white light: difficulty ahead,144,True,no separate matching image
E.12b,Advance signal — fixed white lights: difficulty ahead,144,True,no separate matching image
E.12c,Advance signal — isophase white light: may proceed,144,True,no separate matching image
E.12d,Advance signal — isophase white lights: may proceed,144,True,no separate matching image
E.13,Drinking-water supply,144,True,no separate matching image
E.14,Telephone,145,True,no separate matching image
E.15,Motorized vessels permitted,145,True,no separate matching image
E.16,Sports or pleasure craft permitted,145,True,no separate matching image
E.17,Water skiing permitted,145,True,no separate matching image
E.18,Sailing vessels permitted,145,True,no separate matching image
E.19,Craft other than motorized vessels or sailing craft permitted,146,True,no separate matching image
E.20,Use of sailboards permitted,146,True,no separate matching image
E.21,High-speed zone for small sport/pleasure craft,146,True,no separate matching image
E.22,Launching or beaching of small craft permitted,146,True,no separate matching image
E.23,Nautical information by radiotelephone on channel indicated,146,True,no separate matching image
E.24,Water bikes permitted,147,True,no separate matching image
E.25,Electrical power supply point,147,True,no separate matching image
E.26,Winter harbour,147,True,no separate matching image
E.26.1,Maximum number of vessels permitted to berth in winter harbour,147,True,no separate matching image
E.27,Winter shelter,148,True,no separate matching image
E.27.1,Winter shelter berthing limits,148,True,no separate matching image
